ID,Team_Name
2440,Nevada Wolf Pack
2856,California Baptist Lancers
325,Cleveland State Vikings
2352,Loyola Maryland Greyhounds
61,Georgia Lady Bulldogs
2449,North Dakota State Bison
2057,Belmont Bruins
2443,New Orleans Privateers
350,UNC Wilmington Seahawks
127,Michigan State Spartans
151,East Carolina Pirates
2193,East Tennessee State Bucs
94,Northern Kentucky Norse
2571,South Dakota State Jackrabbits
2250,Gonzaga Bulldogs
2579,South Carolina Gamecocks
25,California Golden Bears
2771,Merrimack Warriors
24,Stanford Cardinal
2241,Gardner-Webb Runnin' Bulldogs
